filename,extension,size_bytes,sha256,provisional_category
A-ZION_Investment_Intelligence_v2.xlsx,.xlsx,6835,2fc7fcddbca43169c767056aae9a05170147ca7cd316095dfa610e807e40fd58,Investment Research / Data Governance
A-ZION_Investment_Intelligence_v3.xlsx,.xlsx,7568,407be25ec3477527f67f373199a819b77bba74724308ab6c49e9187be33e1794,Investment Research / Data Governance
A-ZION_Investment_Pipeline_Initial_Import.xlsx,.xlsx,6056,b962d5aa30ce1f81d6a6d04f2ea8a438dc580f8376e8a696a4346e39046ffd30,Investment Research / Data Governance
A-ZION_Investment_Research_Intelligence_v1.xlsx,.xlsx,6565,f62e98725b1b543d30b643184043deb3aa6d02914e002348c33f28e28283258a,Investment Research / Data Governance
A-ZION_KNOW_001_Howard_Marks_Foundation.docx,.docx,37498,642e91cff6a6686f8f46695d2c14500e8adbb1b4b157ade9dfd16f03a87ea67a,Experts / Principles / Dossiers
A-ZION_Knowledge_Database_v1.docx,.docx,37433,74952b411055d81b31639396ff47f5d17cba97d4e09e06dc290e1313f9dd9285,Knowledge / Evidence / Assertions
A-ZION_Knowledge_Database_v1_1_Ontology_Registry.xlsx,.xlsx,219726,57e12f94768c849e700f8cf797f08482d6a590567e9f604148ba9e33edc1f065,Knowledge / Evidence / Assertions
A-ZION_Knowledge_Database_v1_2_Evidence_Sprint001.xlsx,.xlsx,221289,2ace3d46e5a676966b4e37cefd280199164f5daa728f95947c5f94b7a002c69c,Knowledge / Evidence / Assertions
A-ZION_Knowledge_Database_v1_3_Assertion_Sprint002.xlsx,.xlsx,246650,655beec4d18283a7ae8a987c2462d947b03f7edc58f1d5a21ecc394924d69d9f,Knowledge / Evidence / Assertions
A-ZION_Knowledge_Database_v1_4_Direct_Source_Sprint003.xlsx,.xlsx,248154,34b4e2f683611d3f331f5bfdff224fdfabbe10eca7820fc35499c1a25460ffa4,Knowledge / Evidence / Assertions
